date,type,source,author,region,district,location1,location2,type,label,description,text
42119,crowdsourced,news media,HR/Sitrep1,central,kathmandu,NA,norvic international hospital,observation,medical,people treated on the ground,"Norvic International Hospital - Doctors and nurses are treating dozens of people were gathered in the parking lot of Kathmandu's Norvic International Hospital, where thin mattresses had been spread on the ground."
42119,crowdsourced,online community,HR/Sitrep1,central,kathmandu,NA,durbar square,observation,damage,square destroyed,Durbar Square destroyed - need medical help and manpower to pull people out
42119,crowdsourced,online community,HR/Sitrep1,central,kathmandu,NA,durbar square,need,medical,medical help needed,Durbar Square destroyed - need medical help and manpower to pull people out
42119,crowdsourced,online community,HR/Sitrep1,central,kathmandu,NA,durbar square,need,search&rescue,help needed to pull people out,Durbar Square destroyed - need medical help and manpower to pull people out
42119,crowdsourced,twitter,HR/Sitrep1,central,kathmandu,NA,kasthamandap,observation,damage,collapsed,Kasthamandap Collapsed - where are police/armies (
42119,crowdsourced,twitter,HR/Sitrep1,central,kathmandu,NA,kasthamandap,need,general assessment,general assistance (call for police/army),Kasthamandap Collapsed - where are police/armies (
42119,crowdsourced,twitter,HR/Sitrep1,central,kathmandu,NA,dharahara tower,observation,damage,collapsed,Dharahara Tower Collapsed
42119,crowdsourced,twitter,HR/Sitrep1,central,kathmandu,,airport,observation,general assessment,airport closed; flights diverting to india,Airport at Kathmandu shut down. flights diverting to India.
42119,crowdsourced,twitter,HR/Sitrep1,central,kathmandu,NA,spark hospital,observation,medical,hospital damaged,Spark Hospital Damaged
42119,crowdsourced,news media,HR/Sitrep1,central,kathmandu,NA,NA,observation,transport,roads impassable by car,Roads in city are reportedly impassable by car
42119,crowdsourced,twitter,HR/Sitrep1,central,kathmandu,shankhamul,NA,observation,general assessment,electricity is working,via citizen - electricity is up in Shankhamul
42119,crowdsourced,news media,HR/Sitrep1,NA,NA,NA,NA,observation,general assessment,758 people confirmed dead,"According to Home Ministry official Laxmi Dhakal, at least 758 people were confirmed dead in Nepal, according to the Home Ministry. Another 20 were killed in India, six in Tibet and two in Bangladesh. Two Chinese citizens died at the Nepal-China border"
42119,crowdsourced,news media,HR/Sitrep1,NA,NA,NA,NA,observation,general assessment,"688 people confirmed dead, says Nepali police","According to Nepal Police At least 688 people were confirmed dead in Nepal. Another 20 were killed in India, six in Tibet and two in Bangladesh. Two Chinese citizens died at the Nepal-China border. Given the scale of the destruction, the death toll is almost certain to rise, said Home Ministry official Laxmi Dhakal."
42119,crowdsourced,twitter,HR/Sitrep1,eastern,solukhumbu,everest,makalu base camp,observation,damage,south side of base camp destroyed; all teams safe but stuck,"South side of #Everest #Makalu base camp completely destroyed, #Everest all teams in camp 1 & 2 are reporting safe but stuck because destroyed route"
