date,source,author,region,district,location1,location2,type,label,description,text
02-May,NA,UN/Sitrep9,central,bagmati,langtang,NA,need,medical,mental health,"""Assessments indicate mental health and general health services are needed in Langtang Valley and Rasuwa District."""
29-Apr,NA,UN/Sitrep6,midwestern,banke,nepalgunj,nepalgunj airport,observation,transport,landing permission for C17 airplanes,"""Landing permissions have been given at Pokhara, Biratnagar and Nepalgunj airports to C17 airplanes and those with similar capacity."""
26-Apr,NA,UN/Sitrep3,central,bhaktapur,NA,NA,observation,general assessment,added to list of most affected districts,"""The most affected districts are Dhading, Gorkha, Rasuwa, Sindhupalchowk, Kavre, Nuwakot, Dolakha, Kathmandu, Lalitpur, Bhaktapur and Ramecchap."""
27-Apr,NA,UN/Sitrep4,central,bhaktapur,NA,NA,observation,general assessment,among the highest death counts,"""Most of the deaths are recorded in Bhaktapur, Kathmandu and Lalitpur."""
29-Apr,NA,UN/Sitrep6,central,bhaktapur,NA,NA,observation,casualties,250 deaths,"""(1,039 deaths in Kathmandu, 250 in Bhaktapur and 159 in Lalitpur districts)"""
29-Apr,NA,UN/Sitrep6,central,bhaktapur,NA,NA,observation,general assessment,(inter)national relief efforts now in nine districts,"""National and international rescue and relief efforts have expanded to nine districts"""
29-Apr,NA,UN/Sitrep6,central,bhaktapur,NA,NA,need,nutrition,identified for immediate food assistance,"""Twelve districts have been identified for immediate food assistance"""
29-Apr,NA,UN/Sitrep6,central,bhaktapur,NA,NA,need,medical,"priority district for health intervention. Medical tents, medicines","""are the 11 priority districts for health intervention where medical tents with 50 bed capacity, essential medicine, and services in camps are urgently needed."""
29-Apr,NA,UN/Sitrep6,central,bhaktapur,NA,NA,observation,general assessment,identified as district generally most in need (on priority list),"""The most affected districts are being reported to be """
30-Apr,NA,UN/Sitrep7,central,bhaktapur,NA,NA,need,medical,need critical health services,"""Eleven districts need critical health services."""
30-Apr,NA,UN/Sitrep7,central,bhaktapur,NA,NA,need,sanitation,water supply,"""There is an issue of sustainable water supply for wards 2 and 6 in the Bhaktapur District, including an urgent need for temporary toilets, hygiene kits and water purification tablets."""
30-Apr,NA,UN/Sitrep7,central,bhaktapur,NA,NA,need,sanitation,temporary toilets,"""There is an issue of sustainable water supply for wards 2 and 6 in the Bhaktapur District, including an urgent need for temporary toilets, hygiene kits and water purification tablets."""
30-Apr,NA,UN/Sitrep7,central,bhaktapur,NA,NA,need,sanitation,hygiene kits,"""There is an issue of sustainable water supply for wards 2 and 6 in the Bhaktapur District, including an urgent need for temporary toilets, hygiene kits and water purification tablets."""
30-Apr,NA,UN/Sitrep7,central,bhaktapur,NA,NA,need,sanitation,water purification tablets,"""There is an issue of sustainable water supply for wards 2 and 6 in the Bhaktapur District, including an urgent need for temporary toilets, hygiene kits and water purification tablets."""
01-May,NA,UN/Sitrep8,central,bhaktapur,NA,NA,observation,population behavior,"10,700 internally displaced person","""In Bhaktapur, there are 10,700 IDPs with the largest camp hosting 2,500 IDPs."""
01-May,NA,UN/Sitrep8,central,bhaktapur,NA,NA,observation,shelter,"largest camp hosts 2,500 IDPs","""In Bhaktapur, there are 10,700 IDPs with the largest camp hosting 2,500 IDPs."""
01-May,NA,UN/Sitrep8,central,bhaktapur,NA,camps,need,nutrition,food needed in camps,"""The camps urgently need food, emergency shelter and regular water supply."""
01-May,NA,UN/Sitrep8,central,bhaktapur,NA,camps,need,shelter,emergency shelter,"""The camps urgently need food, emergency shelter and regular water supply."""
