date,source,author,region,district,location1,location2,type,label,description,text,link
25-Apr,news media,HR/Sitrep1,central,kathmandu,NA,norvic international hospital,observation,medical,people treated on the ground,"Norvic International Hospital - Doctors and nurses are treating dozens of people were gathered in the parking lot of Kathmandu's Norvic International Hospital, where thin mattresses had been spread on the ground.",http://www.haaretz.com/news/world/1.653455
25-Apr,online community,HR/Sitrep1,central,kathmandu,NA,durbar square,observation,damage,square destroyed,Durbar Square destroyed - need medical help and manpower to pull people out,http://earthquake-report.com/2015/04/25/massive-earthquake-nepal-on-april-25-2015/
25-Apr,online community,HR/Sitrep1,central,kathmandu,NA,durbar square,need,medical,medical help needed,Durbar Square destroyed - need medical help and manpower to pull people out,http://earthquake-report.com/2015/04/25/massive-earthquake-nepal-on-april-25-2015/
25-Apr,online community,HR/Sitrep1,central,kathmandu,NA,durbar square,need,search&rescue,help needed to pull people out,Durbar Square destroyed - need medical help and manpower to pull people out,http://earthquake-report.com/2015/04/25/massive-earthquake-nepal-on-april-25-2015/
25-Apr,twitter,HR/Sitrep1,central,kathmandu,NA,kasthamandap,observation,damage,collapsed,Kasthamandap Collapsed - where are police/armies (,https://twitter.com/salokya/status/591870906755985408
25-Apr,twitter,HR/Sitrep1,central,kathmandu,NA,kasthamandap,need,general assessment,general assistance (call for police/army),Kasthamandap Collapsed - where are police/armies (,https://twitter.com/salokya/status/591870906755985408
25-Apr,twitter,HR/Sitrep1,central,kathmandu,NA,dharahara tower,observation,damage,collapsed,Dharahara Tower Collapsed,https://twitter.com/timesofindia/status/591876733525098496
25-Apr,twitter,HR/Sitrep1,central,kathmandu,,airport,observation,general assessment,airport closed; flights diverting to india,Airport at Kathmandu shut down. flights diverting to India.,NA
25-Apr,twitter,HR/Sitrep1,central,kathmandu,NA,spark hospital,observation,medical,hospital damaged,Spark Hospital Damaged,https://twitter.com/srpaudel/status/591851886539509761
25-Apr,news media,HR/Sitrep1,central,kathmandu,NA,NA,observation,transport,roads impassable by car,Roads in city are reportedly impassable by car,http://www.haaretz.com/news/world/1.653455
25-Apr,twitter,HR/Sitrep1,central,kathmandu,shankhamul,NA,observation,general assessment,electricity is working,via citizen - electricity is up in Shankhamul,https://twitter.com/NRaule/statuses/591978910713139202
25-Apr,news media,HR/Sitrep1,NA,NA,NA,NA,observation,general assessment,758 people confirmed dead,"According to Home Ministry official Laxmi Dhakal, at least 758 people were confirmed dead in Nepal, according to the Home Ministry. Another 20 were killed in India, six in Tibet and two in Bangladesh. Two Chinese citizens died at the Nepal-China border",http://www.haaretz.com/news/world/1.653455
