date,datatype,source,author,region,district,location1,location2,type,label,description,text
42119,conventional,government,UN/Sitrep1,central,chitwan,NA,NA,observation,medical,well staffed,"""Chitwan and Pokhara which both are well staffed"""
42119,conventional,NA,UN/Sitrep1,central,dolakha,NA,NA,observation,general assessment,area is affected,"""Among the most affected districts are"""
42119,conventional,NA,UN/Sitrep1,western,gorkha,NA,NA,observation,general assessment,area is very affected,"""Most affected areas are Gorkha and Lamjung Districts (north-west of Kathmandu)."""
42119,conventional,government,UN/Sitrep1,western,gorkha,NA,NA,observation,medical,teams are sent to Gorkha,"""are sending medical teams to worst affected areas - Gorkha and Lamjung"""
42119,conventional,NA,UN/Sitrep1,western,kaski,NA,NA,observation,general assessment,area is affected,"""Among the most affected districts are"""
42119,conventional,NA,UN/Sitrep1,western,kaski,pokhara,NA,observation,general assessment,densely populated and heavily affected,"""This includes … Nepal's 2 largest cities - greater Kathmandu and Pokhara."""
42119,conventional,government,UN/Sitrep1,western,kaski,pokhara,NA,observation,medical,well staffed,"""Chitwan and Pokhara which both are well staffed"""
42119,conventional,NA,UN/Sitrep1,western,kaski,pokhara,pokhara airport,observation,transport,airport is open,"""The Kathmandu and Pokhara airport remains open. Some commercial flights appear to be coming in."""
42119,conventional,NA,UN/Sitrep1,central,kathmandu,NA,NA,observation,general assessment,damage only in old densely built-up neighborhoods,"""Damage in Kathmandu Valley limited to historical densely built up neighbourhoods."""
42119,conventional,NA,UN/Sitrep1,central,kathmandu,NA,NA,observation,damage,collapsed buildings/walls in historic buildings. Less overal damage than expected.,"""Impacts in Kathmandu valley include collapsed buildings and walls especially historic buildings in centres, but less overall damage and collapse of buildings than expected."""
42119,conventional,NA,UN/Sitrep1,central,kathmandu,kathmandu city,NA,observation,general assessment,densely populated and heavily affected,"""This includes … Nepal's 2 largest cities - greater Kathmandu and Pokhara."""
42119,conventional,NA,UN/Sitrep1,central,kathmandu,NA,NA,observation,medical,overcrowded hospitals,"""Hospitals are overcrowded."""
42119,conventional,NA,UN/Sitrep1,central,kathmandu,NA,NA,need,medical,lack of room for dead bodies,"""Hospitals are overcrowded."""
42119,conventional,NA,UN/Sitrep1,central,kathmandu,NA,NA,need,medical,need for emergency supplies,"""Hospitals are overcrowded."""
42119,conventional,NA,UN/Sitrep1,central,kathmandu,NA,bir hospital,observation,medical,people are treated outside,"""BIR hospital is treating people in the streets."""
42119,conventional,NA,UN/Sitrep1,central,kathmandu,NA,bir hospital,need,medical,emergency stocks are running out; more needed,"""There are reports that the hospital emergency stocks are depleting/used up and there is a need for a government decision on bringing kits from the military."""
42119,conventional,government,UN/Sitrep1,central,kathmandu,NA,NA,observation,medical,teams sent to Kathmandu,"""deploying small teams to hospitals in Kathmandu."""
